avg_inflow,avg_outflow,savings_rate,volatility,academic_score,part_time_income,emi_count,label_score
14962,10317,0.31,0.28,6.4,0,3,84
10728,8691,0.19,0.49,9.7,7447,1,73
24856,22950,0.06,0.32,9.1,0,3,52
29465,22451,0.25,0.32,9.1,0,0,94
18209,16611,0.09,0.14,9.3,0,1,68
20977,19529,0.07,0.16,8.9,0,4,55
11138,8684,0.19,0.52,6.0,0,0,63
22678,19286,0.15,0.51,8.9,0,2,61
15154,14702,0.06,0.42,9.6,0,3,46
11977,9152,0.23,0.56,6.8,6685,1,70
28197,24500,0.13,0.27,7.0,0,4,59
28779,20784,0.29,0.26,8.6,0,1,95
28426,23612,0.18,0.48,7.6,5092,1,72
10367,7872,0.26,0.6,6.1,4433,4,60
24609,20796,0.15,0.1,7.6,0,4,69
24242,17997,0.25,0.11,7.2,3502,1,95
14265,10010,0.27,0.2,7.5,3305,3,86
15330,11138,0.29,0.38,8.3,0,3,80
13844,13100,0.08,0.58,8.7,6269,2,48
20152,13934,0.32,0.42,7.1,0,4,81
13900,12434,0.07,0.33,8.5,3122,3,53
15644,14314,0.08,0.43,7.7,3570,3,48
16767,16068,0.07,0.53,9.3,0,2,46
14119,11940,0.13,0.42,6.7,0,0,61
23041,14960,0.34,0.35,9.6,0,2,95
13724,9725,0.28,0.54,7.7,5956,3,75
27819,23823,0.14,0.5,8.4,0,2,60
28368,23441,0.17,0.46,7.4,3747,3,65
24069,18131,0.26,0.57,7.2,0,4,67
29790,19383,0.34,0.25,7.0,0,3,95
28290,25227,0.12,0.42,7.8,4020,1,64
26338,23648,0.1,0.55,8.4,0,4,45
16045,11697,0.25,0.56,6.4,0,3,65
10695,7365,0.32,0.11,7.6,6613,3,95
22935,18066,0.21,0.13,8.0,0,1,87
24131,17015,0.29,0.38,7.9,5455,2,92
11554,8904,0.21,0.36,8.6,4636,0,81
12177,9161,0.21,0.42,9.0,0,2,71
20625,18167,0.12,0.24,9.4,0,1,70
17721,11762,0.31,0.37,9.0,5929,2,95
16612,13197,0.19,0.36,8.1,0,2,70
24924,19088,0.22,0.48,8.8,0,2,75
25245,20094,0.21,0.34,7.3,2833,3,74
26838,25043,0.08,0.55,7.9,0,2,45
17868,16215,0.09,0.1,6.7,5018,0,71
27113,21377,0.21,0.57,7.4,3395,2,69
14916,11197,0.28,0.55,9.3,2390,3,75
19206,17799,0.09,0.57,6.2,2347,1,46
18547,12624,0.3,0.46,6.4,0,3,78
10848,9279,0.18,0.48,6.4,0,1,60
9965,9283,0.07,0.38,6.1,0,0,51
22277,19784,0.09,0.39,8.8,0,1,59
10847,8084,0.23,0.39,9.7,0,0,81
19569,14468,0.28,0.16,7.6,0,0,95
13014,9509,0.3,0.45,9.3,0,3,79
9737,8784,0.1,0.37,7.7,4374,2,56
27594,20336,0.27,0.21,8.4,7752,3,95
8067,7368,0.09,0.24,7.4,7114,1,64
16725,13657,0.17,0.26,7.2,5055,0,78
22016,14691,0.32,0.25,8.3,2963,0,95
14000,9253,0.31,0.28,9.4,0,2,93
23572,20996,0.11,0.36,6.0,0,1,57
9656,8591,0.12,0.38,6.9,0,0,60
23697,16025,0.31,0.49,6.9,7634,3,87
29111,22751,0.23,0.42,9.3,5753,0,90
23239,17848,0.22,0.37,7.8,7045,2,81
18432,11998,0.33,0.24,9.1,0,0,95
22522,16881,0.27,0.21,8.6,0,4,85
21885,15511,0.29,0.17,9.3,0,2,95
13763,13391,0.05,0.2,7.6,0,3,49
27012,25840,0.06,0.14,8.9,4991,2,64
14112,11951,0.14,0.57,6.7,0,0,56
19328,14486,0.25,0.16,7.6,0,1,90
19258,13104,0.33,0.27,7.6,0,2,95
10617,9335,0.16,0.46,6.3,7933,3,57
20779,18683,0.09,0.41,8.4,7465,1,62
19397,14270,0.24,0.26,7.3,0,0,88
9492,6572,0.33,0.39,8.6,0,3,83
24993,18859,0.25,0.47,8.8,0,3,77
28965,24423,0.16,0.51,8.8,0,0,70
16416,15648,0.07,0.5,6.4,0,4,35
28246,23139,0.19,0.47,9.5,6666,3,73
25259,19807,0.22,0.33,9.1,0,0,87
18633,17367,0.08,0.38,8.2,0,4,46
25974,17997,0.29,0.28,8.1,3627,2,95
17123,15496,0.12,0.27,9.3,0,2,64
8278,8146,0.05,0.46,9.6,4560,3,46
29378,23956,0.17,0.42,7.0,4033,1,73
26733,22513,0.14,0.33,9.4,0,3,66
26059,23185,0.11,0.32,7.8,7208,2,65
8748,8207,0.11,0.34,6.1,2234,1,56
15102,12273,0.19,0.51,8.5,0,2,64
9277,7021,0.27,0.57,6.7,0,4,60
15609,14504,0.08,0.41,6.1,0,4,40
9480,7942,0.12,0.2,9.1,4523,3,66
18983,17743,0.09,0.38,6.4,7293,4,48
18039,15357,0.17,0.33,7.2,2422,2,67
14684,11905,0.21,0.45,8.6,7347,2,73
13271,8562,0.32,0.55,7.8,2312,3,78
25174,22972,0.09,0.53,8.0,0,2,49
26140,23861,0.08,0.53,7.0,3051,2,47
25817,23624,0.1,0.39,6.2,2429,0,59
16808,14684,0.13,0.2,7.0,5984,2,68
10471,10408,0.05,0.14,6.7,0,0,58
24782,16748,0.34,0.2,6.5,7067,4,95
24303,17175,0.28,0.34,6.2,2866,4,81
28284,22564,0.21,0.45,9.1,0,3,72
26353,22131,0.16,0.28,7.6,2504,2,72
14073,10883,0.21,0.23,7.3,0,2,75
26528,22940,0.12,0.29,6.2,0,1,64
9822,8347,0.17,0.32,6.9,0,3,60
23266,17727,0.24,0.12,8.4,6866,1,95
9141,5557,0.35,0.49,9.6,0,1,90
11034,9481,0.11,0.35,6.1,4901,4,50
16457,12960,0.23,0.6,6.5,0,0,68
25868,17266,0.33,0.48,9.4,0,3,92
16447,12074,0.24,0.29,7.5,0,1,82
24635,22202,0.1,0.46,6.2,3484,2,52
18829,14083,0.24,0.31,9.5,0,3,80
23105,17384,0.25,0.26,6.8,4067,1,89
18012,15700,0.11,0.11,7.2,0,3,63
10614,9333,0.12,0.56,7.4,3834,2,50
27731,20670,0.24,0.4,7.1,6006,2,84
9400,7997,0.14,0.44,9.5,0,2,60
25679,24112,0.06,0.44,7.1,6046,0,55
21726,19568,0.11,0.19,9.5,5153,3,68
15850,11591,0.24,0.57,8.7,4352,4,67
12242,10650,0.09,0.36,9.7,0,0,63
22979,20608,0.11,0.58,6.6,0,0,52
10849,7468,0.28,0.51,9.4,0,3,74
13208,9327,0.26,0.13,6.4,4025,3,85
13985,11612,0.17,0.46,9.7,0,4,59
23215,20024,0.14,0.41,9.0,2651,4,59
11534,7866,0.3,0.5,8.4,6600,4,77
10120,7426,0.3,0.36,8.9,3788,0,92
28587,19646,0.31,0.34,8.4,7480,4,95
18981,12874,0.32,0.29,7.5,0,3,90
12675,8932,0.27,0.55,7.1,0,0,77
23244,16032,0.29,0.57,7.8,2978,4,77
23654,15854,0.34,0.4,6.5,5439,4,90
19417,15348,0.21,0.55,7.0,0,4,58
25369,16526,0.34,0.54,8.1,0,4,86
29079,19834,0.33,0.52,6.7,5251,4,87
9624,6653,0.26,0.38,6.5,5166,3,74
10167,9632,0.07,0.5,7.6,0,2,43
9027,6831,0.27,0.41,8.5,7790,0,87
21520,16563,0.25,0.44,8.6,0,3,75
21100,19597,0.06,0.36,6.1,7597,0,58
23392,17329,0.28,0.32,7.9,0,0,93
20833,19164,0.1,0.3,6.4,0,2,55
11859,9599,0.2,0.57,7.1,0,3,55
18641,15964,0.17,0.47,9.6,0,0,71
17625,14968,0.15,0.41,7.5,0,1,63
26410,20371,0.22,0.19,6.6,3374,2,85
10564,8200,0.2,0.12,6.5,0,0,81
23141,21438,0.06,0.44,8.3,0,4,42
25431,19266,0.23,0.22,6.8,0,4,77
22735,21058,0.06,0.43,6.6,0,4,39
19134,12847,0.33,0.42,9.6,0,3,90
12527,11146,0.13,0.6,9.2,6051,4,49
25026,23502,0.08,0.21,8.5,7057,0,70
26515,24882,0.08,0.18,7.4,6834,0,70
26731,17561,0.35,0.42,6.2,6580,3,95
24108,21027,0.12,0.32,9.3,7741,3,67
10630,8218,0.27,0.29,6.1,3091,3,75
15509,10614,0.33,0.27,8.2,0,2,93
16080,11237,0.31,0.18,8.6,0,4,89
8298,5910,0.32,0.38,7.7,0,3,79
18242,13050,0.3,0.1,8.2,3706,3,95
18274,16408,0.08,0.12,6.7,0,1,63
24695,17465,0.29,0.18,6.3,5730,1,95
20497,17134,0.14,0.14,9.6,0,3,73
9052,8353,0.11,0.54,6.5,0,2,44
8471,8021,0.06,0.4,9.7,2836,1,55
26945,23499,0.13,0.21,6.9,7084,1,74
10055,7409,0.27,0.45,8.8,0,2,76
22601,19298,0.14,0.55,7.3,2260,4,50
9287,7618,0.13,0.17,6.2,6887,1,71
29215,19963,0.31,0.25,7.7,7589,3,95
10048,6621,0.34,0.13,8.5,6319,1,95
15318,13106,0.16,0.44,6.0,0,0,63
19109,18157,0.05,0.33,9.6,5376,2,56
22596,21219,0.06,0.42,6.0,6198,1,51
29012,25066,0.14,0.57,9.4,4777,4,56
25950,23159,0.1,0.2,7.4,0,3,60
21983,19321,0.13,0.12,8.5,6836,1,79
18656,14919,0.18,0.15,8.5,0,4,73
21708,19509,0.09,0.13,9.6,6983,4,66
26223,22398,0.16,0.39,8.2,0,4,60
29029,23146,0.19,0.58,8.3,0,2,66
9960,7552,0.28,0.33,7.6,7179,1,87
13716,11894,0.16,0.37,7.7,7924,3,64
11166,9529,0.12,0.2,9.3,5415,1,73
25378,17313,0.32,0.32,8.5,0,3,94
13402,11881,0.09,0.28,7.8,2798,1,62
23450,17873,0.23,0.27,7.2,0,1,84
29178,25374,0.14,0.4,6.5,7414,0,71
29301,21472,0.28,0.47,6.0,0,2,81
10827,9655,0.11,0.6,9.0,0,1,51
17114,14039,0.2,0.27,6.4,3662,0,79
8240,5354,0.35,0.12,9.1,4958,3,95
8896,5909,0.35,0.48,8.3,5448,0,94
14569,13808,0.07,0.32,8.2,0,1,55
28761,23060,0.21,0.25,7.7,0,2,81
28684,26614,0.08,0.46,7.2,6132,1,55
16984,12260,0.27,0.13,8.5,2862,2,94
21748,16039,0.26,0.23,8.7,0,0,95
25294,16834,0.32,0.44,6.6,4863,2,93
29878,20732,0.31,0.12,9.8,0,4,95
18606,14361,0.25,0.14,7.9,0,0,93
13713,10826,0.22,0.54,9.4,5881,2,72
23047,17053,0.27,0.39,6.4,0,0,86
14186,9350,0.31,0.28,7.7,2025,4,85
28130,20122,0.29,0.39,7.1,0,1,91
23669,16299,0.33,0.2,6.6,6417,0,95
29348,23866,0.2,0.44,8.4,0,2,73
